ナンバー,ファイル名,サイズ,カテゴリー,優先順位
1,S2_A_1.jpeg,A,S2,1
2,S2_A_2.jpeg,A,S2,8
3,S2_A_3.jpeg,A,S2,13
4,S2_A_4.jpeg,A,S2,20
5,S2_B_5.jpeg,B,S2,2
6,S2_B_6.jpeg,B,S2,9
7,S2_B_7.jpeg,B,S2,10
8,S2_B_8.jpeg,B,S2,16
9,S2_C_9.jpeg,C,S2,5
10,S2_C_10.jpeg,C,S2,11
11,S2_C_11.jpeg,C,S2,12
12,S2_C_12.jpeg,C,S2,19
13,S2_D_13.jpeg,D,S2,3
14,S2_D_14.jpeg,D,S2,4
15,S2_D_15.jpeg,D,S2,6
16,S2_D_16.jpeg,D,S2,7
17,S2_D_17.jpeg,D,S2,14
18,S2_D_18.jpeg,D,S2,15
19,S2_D_19.jpeg,D,S2,17
20,S2_D_20.jpeg,D,S2,18
21,S2_D_21.jpeg,D,S2,21
22,S2_D_22.jpeg,D,S2,22
23,S2_D_23.jpeg,D,S2,23
24,S2_D_24.jpeg,D,S2,24
