ナンバー,ファイル名,サイズ,カテゴリー,優先順位
1,D4_A_1.jpeg,A,D4,1
2,D4_A_2.jpeg,A,D4,8
3,D4_A_3.jpeg,A,D4,13
4,D4_A_4.jpeg,A,D4,20
5,D4_B_5.jpeg,B,D4,2
6,D4_B_6.jpeg,B,D4,9
7,D4_B_7.jpeg,B,D4,10
8,D4_B_8.jpeg,B,D4,16
9,D4_C_9.jpeg,C,D4,5
10,D4_C_10.jpeg,C,D4,11
11,D4_C_11.jpeg,C,D4,12
12,D4_C_12.jpeg,C,D4,19
13,D4_D_13.jpeg,D,D4,3
14,D4_D_14.jpeg,D,D4,4
15,D4_D_15.jpeg,D,D4,6
16,D4_D_16.jpeg,D,D4,7
17,D4_D_17.jpeg,D,D4,14
18,D4_D_18.jpeg,D,D4,15
19,D4_D_19.jpeg,D,D4,17
20,D4_D_20.jpeg,D,D4,18
21,D4_D_21.jpeg,D,D4,21
22,D4_D_22.jpeg,D,D4,22
23,D4_D_23.jpeg,D,D4,23
24,D4_D_24.jpeg,D,D4,24
