ナンバー,ファイル名,サイズ,カテゴリー,優先順位
1,D1_A_1.jpeg,A,D1,1
2,D1_A_2.jpeg,A,D1,8
3,D1_A_3.jpeg,A,D1,13
4,D1_A_4.jpeg,A,D1,20
5,D1_B_5.jpeg,B,D1,2
6,D1_B_6.jpeg,B,D1,9
7,D1_B_7.jpeg,B,D1,10
8,D1_B_8.jpeg,B,D1,16
9,D1_C_9.jpeg,C,D1,5
10,D1_C_10.jpeg,C,D1,11
11,D1_C_11.jpeg,C,D1,12
12,D1_C_12.jpeg,C,D1,19
13,D1_D_13.jpeg,D,D1,3
14,D1_D_14.jpeg,D,D1,4
15,D1_D_15.jpeg,D,D1,6
16,D1_D_16.jpeg,D,D1,7
17,D1_D_17.jpeg,D,D1,14
18,D1_D_18.jpeg,D,D1,15
19,D1_D_19.jpeg,D,D1,17
20,D1_D_20.jpeg,D,D1,18
21,D1_D_21.jpeg,D,D1,21
22,D1_D_22.jpeg,D,D1,22
23,D1_D_23.jpeg,D,D1,23
24,D1_D_24.jpeg,D,D1,24
