ナンバー,ファイル名,サイズ,カテゴリー,優先順位
1,D2_A_1.jpeg,A,D2,1
2,D2_A_2.jpeg,A,D2,8
3,D2_A_3.jpeg,A,D2,13
4,D2_A_4.jpeg,A,D2,20
5,D2_B_5.jpeg,B,D2,2
6,D2_B_6.jpeg,B,D2,9
7,D2_B_7.jpeg,B,D2,10
8,D2_B_8.jpeg,B,D2,16
9,D2_C_9.jpeg,C,D2,5
10,D2_C_10.jpeg,C,D2,11
11,D2_C_11.jpeg,C,D2,12
12,D2_C_12.jpeg,C,D2,19
13,D2_D_13.jpeg,D,D2,3
14,D2_D_14.jpeg,D,D2,4
15,D2_D_15.jpeg,D,D2,6
16,D2_D_16.jpeg,D,D2,7
17,D2_D_17.jpeg,D,D2,14
18,D2_D_18.jpeg,D,D2,15
19,D2_D_19.jpeg,D,D2,17
20,D2_D_20.jpeg,D,D2,18
21,D2_D_21.jpeg,D,D2,21
22,D2_D_22.jpeg,D,D2,22
23,D2_D_23.jpeg,D,D2,23
24,D2_D_24.jpeg,D,D2,24
